Event ID,city,latitude,longitude
238,Unknown,17.294844,42.695584
239,Barwana,34.092656,42.385467
240,Nuadihi,21.805176,83.606235
241,Perugia,43.089292,12.440992
242,Misrata,32.354922,15.105525
243,Horlivka,48.3071,38.029633
244,Belfast,54.607711,-5.95621
245,Timbuktu,16.757752,-2.999362
246,Quetta,30.20082,66.994352
247,Hurghada,27.205331,33.80377
248,Chahar Shinghovi,37.006789,66.071375
249,Gharyan,32.165968,13.016418
250,Turbat,25.999413,63.047451
251,Mogadishu,2.059818,45.326114
252,Maktab,34.082722,70.666734
253,Madain,33.100528,44.584493
254,Buhodle,8.239853,46.328522
255,Kaliajhola,19.006331,82.9993
256,Arsal,34.184603,36.424013
257,Mullah Khan Sarai,32.320237,69.859741
258,Tanao Pute,6.343474,101.304675
259,Unknown,34.538965,62.168193
260,Benghazi,32.069287,20.151145
261,Muskel,18.852033,81.487676
262,Sangin district,32.157367,65.017472
263,Marjah,31.467463,64.092443
264,Marjah,31.467463,64.092443
265,Ganse,11.155047,14.072689
266,Danke,10.810451,14.637005
267,Haipang,9.539916,8.90002
268,Kharkai,34.503519,71.897614
269,Williamnagar,25.495813,90.616669
270,Kuldan,25.334594,61.771953
271,Shabramant district,29.929591,31.185928
272,Warsheekh,2.299619,45.799471
273,Kholu district,29.899718,69.250642
274,Barkhan,29.898262,69.527647
275,Baghdad,33.303567,44.371771
276,Benghazi,32.069287,20.151145
277,Diya,,
278,Diya,,
279,Baghdad,33.303567,44.371771
280,Baghdad,33.303567,44.371771
281,Mosul,36.354146,43.143571
282,Bashiqah,36.447493,43.351058
283,Kirkuk,35.452112,44.375464
284,Bekaot,32.243009,35.456096
285,Kayapinar district,37.956251,39.924165
286,Arish,31.126646,33.800864
287,Qatif,26.554784,50.004525
288,Malabog,7.352012,125.467153
289,Al-Khums,32.646987,14.260969
290,Sur district,38.064584,40.381766
291,Sur district,38.064584,40.381766
292,Vancouver,49.282729,-123.120738
293,Bahian,31.978098,75.408713
294,Arish,31.126646,33.800864
295,Mogadishu,2.059818,45.326114
296,Shaykh Uthman,12.86714,44.983957
297,Peshawar,34.006004,71.537431
298,Zueitina,30.951601,20.118899
299,Quetta,30.20082,66.994352
300,Taftan,28.947237,61.584763
301,Baghdad,33.303567,44.371771
302,Baghdad,33.303567,44.371771
303,Husseiniyah,33.548307,44.415735
304,Madain,33.100528,44.584493
305,Tikrit,34.621521,43.668375
306,Baghdad,33.303567,44.371771
307,As Salam,34.821555,43.041724
308,Tuz Khormato,34.881348,44.62513
309,Sanaa,15.325444,44.211895
310,Taizz,13.586484,44.024105
311,Madagali,10.891217,13.627525
312,Kama district,34.447971,70.668488
313,Kafr Nabl,35.615622,36.558394
