Event ID,iyear,imonth,iday,approxdate
218,2016,1,7,7-Jan-16
219,2016,1,7,
220,2016,1,7,7-Jan-16
221,2016,1,7,
222,2016,1,7,
223,2016,1,7,
224,2016,1,7,
225,2016,1,7,7-Jan-16
226,2016,1,7,7-Jan-16
227,2016,1,7,7-Jan-16
228,2016,1,7,7-Jan-16
229,2016,1,7,7-Jan-16
230,2016,1,7,
231,2016,1,7,
232,2016,1,7,
233,2016,1,7,7-Jan-16
234,2016,1,7,
235,2016,1,7,
236,2016,1,7,
237,2016,1,7,
238,2016,1,7,
239,2016,1,7,
240,2016,1,7,
241,2016,1,7,
242,2016,1,7,
243,2016,1,7,
244,2016,1,7,
245,2016,1,8,
246,2016,1,8,
247,2016,1,8,
248,2016,1,7,
249,2016,1,7,
250,2016,1,8,
251,2016,1,8,
252,2016,1,8,
253,2016,1,8,8-Jan-16
254,2016,1,8,
255,2016,1,8,
256,2016,1,8,
257,2016,1,8,
258,2016,1,8,
259,2016,1,8,
260,2016,1,8,
261,2016,1,8,
262,2016,1,8,
263,2016,1,8,
264,2016,1,8,8-Jan-16
265,2016,1,8,
266,2016,1,8,
267,2016,1,8,
268,2016,1,8,
269,2016,1,9,
270,2016,1,9,
271,2016,1,9,
272,2016,1,9,
273,2016,1,9,
274,2016,1,9,
275,2016,1,9,
276,2016,1,9,
277,2016,1,9,
278,2016,1,9,
279,2016,1,9,
280,2016,1,9,9-Jan-16
281,2016,1,9,
282,2016,1,7,
283,2016,1,9,
284,2016,1,9,
285,2016,1,9,
286,2016,1,9,
287,2016,1,10,
288,2016,1,9,
289,2016,1,9,
290,2016,1,9,
291,2016,1,9,
292,2016,1,9,
293,2016,1,9,
294,2016,1,9,
295,2016,1,10,
296,2016,1,10,
297,2016,1,9,
298,2016,1,10,
299,2016,1,10,
300,2016,1,10,
301,2016,1,10,10-Jan-16
302,2016,1,10,10-Jan-16
303,2016,1,10,
304,2016,1,10,10-Jan-16
305,2016,1,10,
306,2016,1,10,
307,2016,1,10,
308,2016,1,10,
309,2016,1,10,10-Jan-16
310,2016,1,10,10-Jan-16
311,2016,1,10,
312,2016,1,10,
313,2016,1,10,
314,2016,1,10,
315,2016,1,10,
316,2016,1,10,
317,2016,1,10,
318,2016,1,10,
319,2016,1,10,
320,2016,1,10,10-Jan-16
321,2016,1,10,
322,2016,1,10,
323,2016,1,10,
324,2016,1,10,
325,2016,1,10,
326,2016,1,10,10-Jan-16
327,2016,1,11,
328,2016,1,11,11-Jan-16
329,2016,1,11,11-Jan-16
330,2016,1,11,
331,2016,1,11,
332,2016,1,11,
333,2016,1,11,
334,2016,1,11,
335,2016,1,11,11-Jan-16
336,2016,1,11,
337,2016,1,11,
338,2016,1,11,
339,2016,1,11,
340,2016,1,11,
341,2016,1,11,
342,2016,1,11,
343,2016,1,11,
344,2016,1,11,11-Jan-16
345,2016,1,11,
346,2016,1,11,
347,2016,1,11,
348,2016,1,11,
349,2016,1,11,
350,2016,1,11,
351,2016,1,11,
352,2016,1,11,
353,2016,1,11,
